Iteración 	 Inic_aleatoria 	 Pertenencia_aleatoria 	 Cent_aleatorios 	 División_espacio
1	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
2	7038.525041152264	3815.256641975309	3815.256641975309	4092.746401946819
3	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
4	7038.525041152264	4092.746401946819	3815.256641975309	4092.746401946819
5	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
6	4092.746401946819	4092.746401946819	3793.793144517066	4092.746401946819
7	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
8	4092.746401946819	6655.123376623376	4092.746401946819	4092.746401946819
9	6420.371856060605	4092.746401946819	3815.256641975309	4092.746401946819
10	6420.371856060605	4092.746401946819	3815.256641975309	4092.746401946819
11	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
12	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
13	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
14	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
15	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
16	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
17	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
18	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
19	7038.525041152264	3815.256641975309	4092.746401946819	4092.746401946819
20	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
21	3870.4981327160494	4092.746401946819	4092.746401946819	4092.746401946819
22	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
23	7038.525041152264	4092.746401946819	3815.256641975309	4092.746401946819
24	3815.256641975309	3815.256641975309	3815.256641975309	4092.746401946819
25	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
26	4092.746401946819	3793.793144517066	4092.746401946819	4092.746401946819
27	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
28	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
29	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
30	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
31	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
32	4092.746401946819	3815.256641975309	3793.793144517066	4092.746401946819
33	3793.793144517066	4092.746401946819	3815.256641975309	4092.746401946819
34	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
35	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
36	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
37	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
38	3815.256641975309	4092.746401946819	3815.256641975309	4092.746401946819
39	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
40	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
41	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
42	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
43	3793.793144517066	4092.746401946819	3815.256641975309	4092.746401946819
44	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
45	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
46	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
47	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
48	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
49	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
50	4092.746401946819	4092.746401946819	6600.839785353536	4092.746401946819
51	7038.525041152264	3815.256641975309	4092.746401946819	4092.746401946819
52	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
53	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
54	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
55	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
56	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
57	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
58	6537.339775533109	4092.746401946819	3815.256641975309	4092.746401946819
59	3793.793144517066	4092.746401946819	3815.256641975309	4092.746401946819
60	7038.525041152264	4092.746401946819	3815.256641975309	4092.746401946819
61	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
62	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
63	7038.525041152264	3815.256641975309	3815.256641975309	4092.746401946819
64	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
65	4092.746401946819	3793.793144517066	4092.746401946819	4092.746401946819
66	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
67	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
68	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
69	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
70	4092.746401946819	4092.746401946819	3793.793144517066	4092.746401946819
71	3815.256641975309	3815.256641975309	3815.256641975309	4092.746401946819
72	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
73	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
74	4092.746401946819	3815.256641975309	3793.793144517066	4092.746401946819
75	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
76	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
77	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
78	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
79	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
80	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
81	3793.793144517066	3815.256641975309	3815.256641975309	4092.746401946819
82	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
83	4092.746401946819	4092.746401946819	6537.339775533109	4092.746401946819
84	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
85	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
86	3815.256641975309	3793.793144517066	4092.746401946819	4092.746401946819
87	3815.256641975309	4092.746401946819	6558.64187654321	4092.746401946819
88	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
89	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
90	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
91	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
92	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
93	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
94	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
95	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
96	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
97	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
98	3870.4981327160494	4092.746401946819	4092.746401946819	4092.746401946819
99	4092.746401946819	3815.256641975309	3793.793144517066	4092.746401946819
100	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
101	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
102	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
103	4234.74823941799	3815.256641975309	4092.746401946819	4092.746401946819
104	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
105	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
106	3793.793144517066	4092.746401946819	3815.256641975309	4092.746401946819
107	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
108	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
109	3815.256641975309	3793.793144517066	4092.746401946819	4092.746401946819
110	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
111	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
112	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
113	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
114	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
115	4092.746401946819	4092.746401946819	3793.793144517066	4092.746401946819
116	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
117	3793.793144517066	3815.256641975309	3815.256641975309	4092.746401946819
118	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
119	7038.525041152264	3815.256641975309	3815.256641975309	4092.746401946819
120	7038.525041152264	4092.746401946819	3815.256641975309	4092.746401946819
121	3793.793144517066	6420.371856060605	3793.793144517066	4092.746401946819
122	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
123	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
124	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
125	3815.256641975309	4092.746401946819	3815.256641975309	4092.746401946819
126	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
127	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
128	6420.371856060605	3815.256641975309	3815.256641975309	4092.746401946819
129	7038.525041152264	3815.256641975309	4092.746401946819	4092.746401946819
130	4092.746401946819	3793.793144517066	4092.746401946819	4092.746401946819
131	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
132	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
133	3793.793144517066	3793.793144517066	3815.256641975309	4092.746401946819
134	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
135	4234.74823941799	4092.746401946819	4092.746401946819	4092.746401946819
136	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
137	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
138	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
139	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
140	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
141	4092.746401946819	3793.793144517066	3815.256641975309	4092.746401946819
142	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
143	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
144	4092.746401946819	4092.746401946819	3793.793144517066	4092.746401946819
145	6600.839785353535	4092.746401946819	4092.746401946819	4092.746401946819
146	6537.339775533109	4092.746401946819	3793.793144517066	4092.746401946819
147	4092.746401946819	4092.746401946819	3793.793144517066	4092.746401946819
148	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
149	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
150	3870.498132716049	4092.746401946819	4092.746401946819	4092.746401946819
151	7038.525041152264	3815.256641975309	4092.746401946819	4092.746401946819
152	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
153	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
154	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
155	3815.256641975309	3815.256641975309	4092.746401946819	4092.746401946819
156	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
157	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
158	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
159	3793.793144517066	3815.256641975309	4092.746401946819	4092.746401946819
160	3815.256641975309	3815.256641975309	4092.746401946819	4092.746401946819
161	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
162	7038.525041152264	4092.746401946819	4092.746401946819	4092.746401946819
163	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
164	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
165	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
166	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
167	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
168	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
169	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
170	4092.746401946819	3793.793144517066	3793.793144517066	4092.746401946819
171	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
172	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
173	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
174	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
175	3793.793144517066	3815.256641975309	4092.746401946819	4092.746401946819
176	3815.256641975309	4092.746401946819	3815.256641975309	4092.746401946819
177	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
178	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
179	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
180	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
181	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
182	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
183	4092.746401946819	6600.839785353535	3815.256641975309	4092.746401946819
184	3815.256641975309	4092.746401946819	3815.256641975309	4092.746401946819
185	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
186	4092.746401946819	4092.746401946819	3793.793144517066	4092.746401946819
187	4092.746401946819	4092.746401946819	3815.256641975309	4092.746401946819
188	7038.525041152264	4092.746401946819	3793.793144517066	4092.746401946819
189	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
190	4092.746401946819	3793.793144517066	4092.746401946819	4092.746401946819
191	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
192	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
193	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
194	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
195	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
196	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
197	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
198	3815.256641975309	3815.256641975309	4092.746401946819	4092.746401946819
199	4092.746401946819	4092.746401946819	3793.793144517066	4092.746401946819
200	3793.793144517066	4092.746401946819	3815.256641975309	4092.746401946819
201	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
202	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
203	7038.525041152264	3793.793144517066	6420.371856060605	4092.746401946819
204	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
205	3793.793144517066	3815.256641975309	4092.746401946819	4092.746401946819
206	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
207	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
208	4092.746401946819	3793.793144517066	3815.256641975309	4092.746401946819
209	3815.256641975309	4092.746401946819	3815.256641975309	4092.746401946819
210	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
211	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
212	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
213	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
214	3815.256641975309	3815.256641975309	4092.746401946819	4092.746401946819
215	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
216	4092.746401946819	3815.256641975309	3815.256641975309	4092.746401946819
217	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
218	4092.746401946819	3815.256641975309	3793.793144517066	4092.746401946819
219	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
220	4092.746401946819	4092.746401946819	4092.746401946819	4092.746401946819
221	3815.256641975309	4092.746401946819	4092.746401946819	4092.746401946819
222	3793.793144517066	4092.746401946819	4092.746401946819	4092.746401946819
223	4092.746401946819	3815.256641975309	4092.746401946819	4092.746401946819
