Iteración 	 Inic_aleatoria 	 Pertenencia_aleatoria 	 Cent_aleatorios 	 División_espacio
1	1458.213345679012	589.1042098765432	881.5318827160495	1128.7351587301587
2	378.35053703703704	1658.3915167548496	799.1754761904762	1128.7351587301587
3	1549.6248271604936	1686.969271604938	1686.969271604938	1128.7351587301587
4	1476.2732098765428	537.9036543209876	1585.4697839506173	1128.7351587301587
5	378.3505370370371	589.1042098765432	1128.735158730159	1128.7351587301587
6	499.63111111111107	1651.3998271604937	1686.969271604938	1128.7351587301587
7	479.56538271604927	751.8832407407407	876.8016975308642	1128.7351587301587
8	491.88973456790126	1686.969271604938	1597.496172839506	1128.7351587301587
9	503.5473580246913	562.943037037037	1967.8480246913578	1128.7351587301587
10	1504.0472962962963	747.5679805996473	1597.496172839506	1128.7351587301587
11	1496.5914814814812	2019.0485802469132	1516.9114277777776	1128.7351587301587
12	1587.8822345679012	473.4699382716049	408.1346913580247	1128.7351587301587
13	1476.2732098765428	2400.917335097002	1651.3998271604937	1128.7351587301587
14	499.6311111111111	1276.8911005291006	1686.969271604938	1128.7351587301587
15	1588.5957098765432	932.7324382716049	1500.3833080808079	1128.7351587301587
16	749.8104629629631	562.9430370370369	1561.2224197530861	1128.7351587301587
17	1475.4695414462074	450.98762786596114	589.1042098765431	1128.7351587301587
18	737.2597962962964	2400.917335097002	1601.4124197530864	1128.7351587301587
19	1594.213395061728	876.5426234567901	1976.7683350970012	1128.7351587301587
20	752.8103703703703	1641.6595987654318	1947.1924369488536	1128.7351587301587
21	749.8104629629629	653.8829012345678	562.9430370370371	1128.7351587301587
22	1458.2133456790123	1641.659598765432	737.4799435626102	1128.7351587301587
23	1784.9260493827157	897.1629938271604	1271.695420875421	1128.7351587301587
24	1534.2224197530861	1500.3833080808079	562.943037037037	1128.7351587301587
25	1458.7376234567898	892.5498765432098	881.5318827160494	1128.7351587301587
26	487.973487654321	1633.1636155202823	932.7324382716049	1128.7351587301587
27	1504.0472962962958	1547.6864444444445	517.6333641975308	1128.7351587301587
28	1546.2956172839504	1506.1200740740737	1947.1924369488534	1128.7351587301587
29	1594.213395061728	1606.0901543209873	680.4134567901235	1128.7351587301587
30	731.5219444444446	1686.969271604938	1531.9451388888888	1128.7351587301587
31	1490.4889629629627	1686.969271604938	1866.1814085297417	1128.7351587301587
32	553.5347654320988	1271.695420875421	1597.4961728395062	1128.7351587301587
33	1450.1032037037035	876.5426234567901	1641.6595987654318	1128.7351587301587
34	613.2228395061728	1641.6595987654318	1827.3421141975311	1128.7351587301587
35	1610.749320987654	897.1629938271604	1513.6199722222223	1128.7351587301587
36	404.88047530864196	1983.4791358024688	804.5435493827162	1128.7351587301587
37	449.82138271604936	1653.6859876543208	1458.7376234567898	1128.7351587301587
38	473.4699382716049	1585.469783950617	1947.1924369488536	1128.7351587301587
39	389.0855291005292	1597.496172839506	803.8857912457913	1128.7351587301587
40	1473.7095061728394	534.3652821869488	897.1629938271604	1128.7351587301587
41	1549.9003395061725	737.4799435626102	897.1629938271604	1128.7351587301587
42	1442.946901234568	1651.3998271604937	1531.9451388888886	1128.7351587301587
43	537.9036543209876	897.1629938271603	932.7324382716049	1128.7351587301587
44	1561.9267283950614	524.9570105820106	932.7324382716049	1128.7351587301587
45	840.6976666666667	2019.0485802469134	765.2892416225749	1128.7351587301587
46	523.6879012345679	589.1042098765432	1653.6859876543208	1128.7351587301587
47	1491.5104197530864	1658.3915167548496	517.6333641975308	1128.7351587301587
48	1534.2692283950616	1513.3868055555552	2019.0485802469134	1128.7351587301587
49	1469.3072839506171	1733.8062652116398	1612.4229753086418	1128.7351587301587
50	499.8901851851852	1641.6595987654318	1686.969271604938	1128.7351587301587
51	841.7706790123457	1651.3998271604937	1686.969271604938	1128.7351587301587
52	465.3597962962962	904.9375176366842	1653.685987654321	1128.7351587301587
53	1490.4889629629627	865.9967107583774	1549.9003395061725	1128.7351587301587
54	1504.047296296296	589.1042098765431	1686.9692716049383	1128.7351587301587
55	1466.7173192239857	881.5318827160494	1513.3868055555554	1128.7351587301587
56	1435.6506975308641	1636.4489506172836	1622.8220723104055	1128.7351587301587
57	876.5426234567899	1606.0901543209873	1686.969271604938	1128.7351587301587
58	1430.9205123456788	1597.496172839506	560.526455026455	1128.7351587301587
59	1446.186956790123	1274.418631393298	589.1042098765431	1128.7351587301587
60	1628.1759382716048	1585.7288580246911	1438.6030944444442	1128.7351587301587
61	1458.7376234567898	473.46993827160486	897.1629938271604	1128.7351587301587
62	1561.9267283950614	1585.469783950617	1618.1165432098762	1128.7351587301587
63	1468.5849250440913	589.1042098765432	492.96274691358025	1128.7351587301587
64	736.2521296296297	1658.3915167548496	1686.969271604938	1128.7351587301587
65	1452.216419753086	555.8209259259258	932.7324382716049	1128.7351587301587
66	617.6207345679012	1547.686444444444	932.7324382716049	1128.7351587301587
67	553.5347654320987	1500.3833080808079	892.5498765432096	1128.7351587301587
68	1462.1295925925924	897.1629938271604	1686.969271604938	1128.7351587301587
69	1545.708580246913	1314.3184126984127	477.3861851851852	1128.7351587301587
70	466.4328086419752	897.1629938271603	876.5426234567901	1128.7351587301587
71	499.8901851851851	589.1042098765431	562.943037037037	1128.7351587301587
72	1458.2133456790123	876.8016975308642	2004.1228865373307	1128.7351587301587
73	1526.86612345679	1901.7508529741865	1597.496172839506	1128.7351587301587
74	1445.179290123457	932.7324382716049	589.1042098765431	1128.7351587301587
75	1576.569320987654	1585.469783950617	1546.2956172839504	1128.7351587301587
76	473.46993827160486	1686.9692716049383	1651.3998271604937	1128.7351587301587
77	817.5856375661374	1653.6859876543208	560.526455026455	1128.7351587301587
78	1836.0771604938268	589.1042098765431	1597.496172839506	1128.7351587301587
79	1504.047296296296	1601.4124197530862	1641.6595987654318	1128.7351587301587
80	736.2521296296297	1686.969271604938	932.7324382716049	1128.7351587301587
81	499.63111111111107	517.6333641975308	2019.0485802469134	1128.7351587301587
82	488.9996913580246	562.943037037037	932.7324382716049	1128.7351587301587
83	735.1791172839507	876.5426234567901	495.75303703703696	1128.7351587301587
84	427.632037037037	449.8213827160494	932.7324382716049	1128.7351587301587
85	1513.11176366843	932.7324382716049	1963.8617724867725	1128.7351587301587
86	1502.9050740740738	1314.3184126984127	1686.969271604938	1128.7351587301587
87	1442.6878271604935	1686.969271604938	891.036197530864	1128.7351587301587
88	743.2817777777777	830.9456349206349	1531.9451388888888	1128.7351587301587
89	1461.9112081128744	1686.9692716049383	1563.9576388888886	1128.7351587301587
90	1594.2133950617283	1500.3833080808076	499.63111111111107	1128.7351587301587
91	1573.3426234567899	488.3967407407407	562.943037037037	1128.7351587301587
92	401.47086419753083	1651.3998271604937	1658.3915167548496	1128.7351587301587
93	829.2583148148149	1947.1924369488534	1486.8512530864198	1128.7351587301587
94	1585.3690123456788	1686.969271604938	1597.496172839506	1128.7351587301587
95	1472.8367901234567	1686.969271604938	553.5347654320987	1128.7351587301587
96	1549.6248271604936	825.6011419753086	1590.4590432098762	1128.7351587301587
97	460.9153209876543	1585.469783950617	527.3735925925926	1128.7351587301587
98	1549.6248271604936	859.4529012345678	932.7324382716048	1128.7351587301587
99	1446.6040740740737	589.1042098765432	1686.969271604938	1128.7351587301587
100	372.35361111111115	589.1042098765431	787.4526851851853	1128.7351587301587
101	1445.1792901234564	562.9430370370369	1585.469783950617	1128.7351587301587
102	1497.6785	1613.864678130511	1686.969271604938	1128.7351587301587
103	1562.1858024691358	932.7324382716049	1102.0697222222223	1128.7351587301587
104	1800.5571604938266	856.9804320987654	1029.7800205761316	1128.7351587301587
105	508.5938580246914	876.54262345679	1686.9692716049383	1128.7351587301587
106	461.70262345679004	1686.969271604938	1983.4791358024686	1128.7351587301587
107	1506.120074074074	517.6333641975308	932.7324382716049	1128.7351587301587
