Iteración 	 Inic_aleatoria 	 Pertenencia_aleatoria 	 Cent_aleatorios 	 División_espacio
1	1308.0372815990597	2251.529314516129	2421.828101851852	1338.501824808936
2	2019.0485802469134	1276.8911005291006	1307.2648653198655	1338.501824808936
3	1297.8018672839507	1947.1924369488534	2251.5293145161286	1338.501824808936
4	2019.0485802469134	1901.750852974186	2023.52835361552	1338.501824808936
5	2004.122886537331	2023.5283536155198	3304.0376895943564	1338.501824808936
6	1954.971869488536	2019.0485802469134	1947.1924369488536	1338.501824808936
7	2023.5283536155202	2016.9644420928862	2400.917335097002	1338.501824808936
8	1338.501824808936	2019.0485802469134	2400.917335097002	1338.501824808936
9	1360.4858818342152	2421.828101851852	1947.1924369488534	1338.501824808936
10	2004.122886537331	2023.52835361552	2019.0485802469134	1338.501824808936
11	1314.3184126984129	2016.9644420928862	2400.917335097002	1338.501824808936
12	2131.627240179573	2019.0485802469134	1954.971869488536	1338.501824808936
13	2019.0485802469134	1857.9331508614841	1954.971869488536	1338.501824808936
14	1901.750852974186	1314.3184126984127	1901.750852974186	1338.501824808936
15	1297.8018672839507	1297.8018672839507	2400.917335097002	1338.501824808936
16	1901.7508529741865	1857.9331508614841	2019.0485802469134	1338.501824808936
17	2158.4059788359787	2019.0485802469134	2019.0485802469134	1338.501824808936
18	2071.0881369248036	1307.2648653198655	1947.1924369488536	1338.501824808936
19	2004.122886537331	1274.418631393298	1901.750852974186	1338.501824808936
20	1901.750852974186	2019.0485802469134	2019.0485802469134	1338.501824808936
21	1307.2648653198655	2251.529314516129	2023.5283536155198	1338.501824808936
22	2004.122886537331	2023.5283536155198	1857.9331508614841	1338.501824808936
23	1901.750852974186	1382.282347442681	2023.52835361552	1338.501824808936
24	1963.8617724867725	2019.0485802469134	1297.8018672839507	1338.501824808936
25	1358.9241666666667	2019.0485802469132	2400.917335097002	1338.501824808936
26	2019.0485802469132	1352.7064492945326	2019.0485802469132	1338.501824808936
27	2019.0485802469134	2251.529314516129	2421.828101851852	1338.501824808936
28	2019.0485802469134	2400.917335097002	1308.0372815990593	1338.501824808936
29	2153.4038477366257	1352.7064492945326	1314.601193121693	1338.501824808936
30	1352.7064492945326	2023.5283536155198	1901.750852974186	1338.501824808936
31	3304.2403292181066	1901.750852974186	2019.0485802469136	1338.501824808936
32	2019.0485802469134	1901.7508529741865	2421.828101851852	1338.501824808936
33	2019.0485802469134	2023.52835361552	1947.1924369488538	1338.501824808936
34	1901.750852974186	2400.917335097002	1857.9331508614841	1338.501824808936
35	2019.0485802469134	2153.8062551440325	2023.52835361552	1338.501824808936
36	2004.1228865373307	1963.8617724867725	2019.0485802469134	1338.501824808936
37	3389.3493518518517	1963.8617724867727	2400.917335097002	1338.501824808936
38	1947.1924369488538	1947.1924369488536	1827.3421141975311	1338.501824808936
39	3483.428549382716	1947.1924369488536	2019.0485802469134	1338.501824808936
40	2188.3858641975307	1314.3184126984127	1360.4858818342152	1338.501824808936
41	2023.52835361552	1947.1924369488538	2251.529314516129	1338.501824808936
42	3395.346277777778	1307.2648653198655	2019.0485802469136	1338.501824808936
43	1352.7064492945326	2019.0485802469136	1827.3421141975311	1338.501824808936
44	2019.0485802469132	2019.0485802469136	1827.342114197531	1338.501824808936
45	1901.7508529741865	1308.0372815990597	1954.971869488536	1338.501824808936
46	2019.0485802469134	1308.0372815990597	1947.1924369488534	1338.501824808936
47	3406.440216049383	1963.8617724867725	1382.282347442681	1338.501824808936
48	1476.6021492704826	1827.342114197531	1827.3421141975311	1338.501824808936
49	2019.0485802469134	2400.917335097002	2019.0485802469132	1338.501824808936
50	3483.428549382716	2400.9173350970013	1901.750852974186	1338.501824808936
51	1330.9116259820428	2019.0485802469134	2019.0485802469134	1338.501824808936
52	3039.5563950617284	2019.0485802469134	2023.5283536155198	1338.501824808936
53	1901.750852974186	1963.8617724867725	2251.529314516129	1338.501824808936
54	1328.392903947904	1857.9331508614841	2071.0881369248036	1338.501824808936
55	1338.501824808936	1963.8617724867725	1360.4858818342152	1338.501824808936
56	1323.9630401234567	1901.750852974186	1382.282347442681	1338.501824808936
57	2019.0485802469134	1827.342114197531	1827.3421141975311	1338.501824808936
58	1330.9116259820428	2400.917335097002	2251.529314516129	1338.501824808936
59	1976.7683350970017	2400.9173350970013	2019.0485802469134	1338.501824808936
60	2019.0485802469136	1947.1924369488536	2016.9644420928862	1338.501824808936
61	2190.950901234568	2019.0485802469134	2023.52835361552	1338.501824808936
62	2019.0485802469134	2016.9644420928864	1314.3184126984127	1338.501824808936
63	1901.750852974186	2023.5283536155202	2019.0485802469134	1338.501824808936
64	1947.1924369488536	2251.529314516129	1307.2648653198655	1338.501824808936
65	5714.021185185186	2019.0485802469134	1827.3421141975311	1338.501824808936
66	1947.1924369488536	1954.971869488536	1963.8617724867725	1338.501824808936
67	3304.440097001763	1947.1924369488536	1274.418631393298	1338.501824808936
68	1517.455617283951	1827.3421141975311	1352.7064492945326	1338.501824808936
69	3389.3493518518517	1947.1924369488534	1963.8617724867725	1338.501824808936
70	2202.0448395061726	2019.0485802469134	1901.750852974186	1338.501824808936
71	2004.122886537331	2019.0485802469132	1901.750852974186	1338.501824808936
72	1323.9630401234567	1827.3421141975311	2400.917335097002	1338.501824808936
73	3379.8207592592594	2019.0485802469134	1308.0372815990597	1338.501824808936
74	2023.52835361552	1954.971869488536	1276.8911005291006	1338.501824808936
75	3379.8207592592594	1308.0372815990593	1901.750852974186	1338.501824808936
76	1954.9718694885362	2023.52835361552	1307.2648653198655	1338.501824808936
77	2004.1228865373307	1325.4331746031746	2023.52835361552	1338.501824808936
78	1947.1924369488536	1827.3421141975311	2016.9644420928864	1338.501824808936
79	1314.3184126984127	1963.8617724867725	2016.9644420928862	1338.501824808936
80	2019.0485802469136	1901.7508529741865	2019.0485802469134	1338.501824808936
81	2019.0485802469134	2251.529314516129	2400.917335097002	1338.501824808936
82	1307.2648653198655	1947.1924369488534	1352.7064492945326	1338.501824808936
83	3389.3493518518517	1963.8617724867727	1827.3421141975311	1338.501824808936
84	1901.750852974186	1954.9718694885362	1963.8617724867725	1338.501824808936
85	3389.3493518518517	1947.1924369488536	1352.7064492945326	1338.501824808936
86	2190.950901234568	1274.418631393298	2023.5283536155202	1338.501824808936
87	2004.1228865373307	1947.1924369488536	1314.3184126984127	1338.501824808936
88	1947.1924369488536	1947.1924369488536	1901.750852974186	1338.501824808936
89	2019.0485802469136	2019.0485802469132	1352.7064492945326	1338.501824808936
90	1901.750852974186	2400.9173350970013	1857.9331508614841	1338.501824808936
91	2004.1228865373307	2188.3858641975307	1901.750852974186	1338.501824808936
92	3304.2403292181066	2400.917335097002	2019.0485802469134	1338.501824808936
93	2019.0485802469132	2019.0485802469134	2019.0485802469134	1338.501824808936
94	2019.0485802469134	1827.3421141975311	2251.529314516129	1338.501824808936
95	2019.0485802469134	2400.917335097002	1827.3421141975311	1338.501824808936
96	3389.3493518518517	2400.917335097002	1963.8617724867725	1338.501824808936
97	2023.52835361552	2400.917335097002	2019.0485802469134	1338.501824808936
98	2019.0485802469134	1901.750852974186	1901.750852974186	1338.501824808936
99	2023.52835361552	1314.3184126984127	1947.1924369488536	1338.501824808936
100	2023.52835361552	1901.750852974186	1954.9718694885362	1338.501824808936
101	1308.0372815990593	1314.601193121693	1963.8617724867725	1338.501824808936
102	3280.0569171075836	2400.917335097002	1308.0372815990593	1338.501824808936
103	1308.0372815990597	1963.8617724867725	2400.917335097002	1338.501824808936
104	3483.428549382716	2023.52835361552	1352.7064492945328	1338.501824808936
105	2023.52835361552	1901.750852974186	1827.3421141975311	1338.501824808936
106	1901.750852974186	2016.9644420928864	1827.3421141975311	1338.501824808936
107	1901.750852974186	1954.9718694885362	2019.0485802469134	1338.501824808936
108	2023.52835361552	1963.8617724867725	2019.0485802469134	1338.501824808936
109	1901.7508529741865	1307.2648653198655	2400.917335097002	1338.501824808936
110	2202.0448395061726	2421.828101851852	2400.917335097002	1338.501824808936
111	1358.9241666666667	1947.1924369488536	1947.1924369488536	1338.501824808936
112	3379.8207592592594	1827.3421141975311	2400.917335097002	1338.501824808936
113	2111.539197530864	1947.1924369488536	2400.917335097002	1338.501824808936
114	1528.261450617284	2016.9644420928862	2023.52835361552	1338.501824808936
115	1963.8617724867725	1827.3421141975311	2019.0485802469134	1338.501824808936
116	3291.171679012346	2400.9173350970013	2019.0485802469132	1338.501824808936
117	1954.9718694885362	1947.1924369488536	1901.750852974186	1338.501824808936
118	1901.750852974186	1308.0372815990597	2251.5293145161286	1338.501824808936
119	1901.750852974186	2400.917335097002	1352.7064492945326	1338.501824808936
120	1354.55407678741	1963.8617724867725	1276.8911005291006	1338.501824808936
121	2158.4059788359787	1827.3421141975311	1976.7683350970012	1338.501824808936
122	2004.1228865373307	2016.9644420928864	1947.1924369488536	1338.501824808936
123	1947.1924369488536	2019.0485802469134	1901.7508529741865	1338.501824808936
124	2153.4038477366253	2023.5283536155198	1360.4858818342152	1338.501824808936
125	2023.52835361552	1901.750852974186	2421.828101851852	1338.501824808936
126	1563.919991181658	1827.3421141975311	2251.529314516129	1338.501824808936
127	1947.1924369488536	1274.418631393298	2019.0485802469134	1338.501824808936
